go_term	description	secretome_genes	non_secretome_genes	prob of combination	expected	population	Bonferonni corrected p-value
GO:0004806	triglyceride lipase activity	4	4	0.5	0.000013	8	0.532071708
GO:0004185	serine-type carboxypeptidase activity	4	4	0.5	0.000013	8	0.532071708
GO:0016702	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	4	4	0.5	0.000013	8	0.532071708
GO:0004571	"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"	5	7	0.416666667	0.000001	12	0.632111037
GO:0016853	isomerase activity	4	5	0.444444444	0.000012	9	1.105246033
GO:0046556	alpha-N-arabinofuranosidase activity	2	1	0.666666667	0.003851	3	1.400130141
GO:0019318	hexose metabolic process	2	1	0.666666667	0.003851	3	1.400130141
GO:0046914	transition metal ion binding	2	1	0.666666667	0.003851	3	1.400130141
GO:0004181	metallocarboxypeptidase activity	2	1	0.666666667	0.003851	3	1.400130141
GO:0003840	gamma-glutamyltransferase activity	2	1	0.666666667	0.003851	3	1.400130141
GO:0046373	L-arabinose metabolic process	2	1	0.666666667	0.003851	3	1.400130141
GO:0008081	phosphoric diester hydrolase activity	7	18	0.28	0	25	2.454529917
GO:0009166	nucleotide catabolic process	2	2	0.5	0.003604	4	5.210040123
GO:0006749	glutathione metabolic process	2	2	0.5	0.003604	4	5.210040123
GO:0016787	hydrolase activity	26	142	0.154761905	0	168	6.004450185
GO:0008199	ferric iron binding	3	5	0.375	0.00019	8	6.701112549
GO:0006662	glycerol ether metabolic process	3	6	0.333333333	0.000177	9	11.17780576
GO:0016042	lipid catabolic process	2	3	0.4	0.003373	5	12.12143148
GO:0006730	one-carbon metabolic process	1	1	0.5	0.060036	2	15.04705977
GO:0007155	cell adhesion	1	1	0.5	0.060036	2	15.04705977
GO:0042546	cell wall biogenesis	1	1	0.5	0.060036	2	15.04705977
GO:0004573	mannosyl-oligosaccharide glucosidase activity	1	1	0.5	0.060036	2	15.04705977
GO:0009311	oligosaccharide metabolic process	1	1	0.5	0.060036	2	15.04705977
GO:0016837	"carbon-oxygen lyase activity, acting on polysaccharides"	1	1	0.5	0.060036	2	15.04705977
GO:0004348	glucosylceramidase activity	1	1	0.5	0.060036	2	15.04705977
GO:0046168	glycerol-3-phosphate catabolic process	1	1	0.5	0.060036	2	15.04705977
GO:0004135	"amylo-alpha-1,6-glucosidase activity"	1	1	0.5	0.060036	2	15.04705977
GO:0003885	"D-arabinono-1,4-lactone oxidase activity"	1	1	0.5	0.060036	2	15.04705977
GO:0004180	carboxypeptidase activity	1	1	0.5	0.060036	2	15.04705977
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	1	1	0.5	0.060036	2	15.04705977
GO:0004540	ribonuclease activity	3	7	0.3	0.000166	10	17.2688817
GO:0006725	cellular aromatic compound metabolic process	3	8	0.272727273	0.000155	11	25.16179108
GO:0003993	acid phosphatase activity	3	8	0.272727273	0.000155	11	25.16179108
GO:0008496	"mannan endo-1,6-alpha-mannosidase activity"	2	5	0.285714286	0.002954	7	36.78395855
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	1	2	0.333333333	0.056184	3	42.34091902
GO:0000272	polysaccharide catabolic process	1	2	0.333333333	0.056184	3	42.34091902
GO:0004091	carboxylesterase activity	1	2	0.333333333	0.056184	3	42.34091902
GO:0006665	sphingolipid metabolic process	1	2	0.333333333	0.056184	3	42.34091902
GO:0004197	cysteine-type endopeptidase activity	1	2	0.333333333	0.056184	3	42.34091902
GO:0004620	phospholipase activity	1	2	0.333333333	0.056184	3	42.34091902
GO:0004565	beta-galactosidase activity	1	2	0.333333333	0.056184	3	42.34091902
GO:0009395	phospholipid catabolic process	1	2	0.333333333	0.056184	3	42.34091902
GO:0032012	regulation of ARF protein signal transduction	1	3	0.25	0.05258	4	79.47179791
GO:0004096	catalase activity	1	3	0.25	0.05258	4	79.47179791
GO:0005086	ARF guanyl-nucleotide exchange factor activity	1	3	0.25	0.05258	4	79.47179791
GO:0005978	glycogen biosynthetic process	1	3	0.25	0.05258	4	79.47179791
GO:0016805	dipeptidase activity	1	3	0.25	0.05258	4	79.47179791
GO:0031072	heat shock protein binding	1	3	0.25	0.05258	4	79.47179791
GO:0015035	protein disulfide oxidoreductase activity	3	13	0.1875	0.000112	16	95.53021276
GO:0004519	endonuclease activity	2	8	0.2	0.002421	10	102.1156169
GO:0004089	carbonate dehydratase activity	1	4	0.2	0.049207	5	124.3720422
GO:0008889	glycerophosphodiester phosphodiesterase activity	1	4	0.2	0.049207	5	124.3720422
GO:0016813	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"	1	4	0.2	0.049207	5	124.3720422
GO:0006801	superoxide metabolic process	1	4	0.2	0.049207	5	124.3720422
GO:0005509	calcium ion binding	7	43	0.14	0	50	155.2694822
GO:0000387	spliceosomal snRNP assembly	0	1	0	0.935849	1	161.5579049
GO:0004057	arginyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006084	acetyl-CoA metabolic process	0	1	0	0.935849	1	161.5579049
GO:0003999	adenine phosphoribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0005829	cytosol	0	1	0	0.935849	1	161.5579049
GO:0004463	leukotriene-A4 hydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0003989	acetyl-CoA carboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0003972	RNA ligase (ATP) activity	0	1	0	0.935849	1	161.5579049
GO:0001735	prenylcysteine oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0006427	histidyl-tRNA aminoacylation	0	1	0	0.935849	1	161.5579049
GO:0006582	melanin metabolic process	0	1	0	0.935849	1	161.5579049
GO:0006383	transcription from RNA polymerase III promoter	0	1	0	0.935849	1	161.5579049
GO:0042255	ribosome assembly	0	1	0	0.935849	1	161.5579049
GO:0030173	integral to Golgi membrane	0	1	0	0.935849	1	161.5579049
GO:0047605	acetolactate decarboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0004373	glycogen (starch) synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004747	ribokinase activity	0	1	0	0.935849	1	161.5579049
GO:0010452	histone H3-K36 methylation	0	1	0	0.935849	1	161.5579049
GO:0004347	glucose-6-phosphate isomerase activity	0	1	0	0.935849	1	161.5579049
GO:0034077	butanediol metabolic process	0	1	0	0.935849	1	161.5579049
GO:0051861	glycolipid binding	0	1	0	0.935849	1	161.5579049
GO:0031965	nuclear membrane	0	1	0	0.935849	1	161.5579049
GO:0004651	polynucleotide 5'-phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0030677	ribonuclease P complex	0	1	0	0.935849	1	161.5579049
GO:0004652	polynucleotide adenylyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0009015	N-succinylarginine dihydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0005094	Rho GDP-dissociation inhibitor activity	0	1	0	0.935849	1	161.5579049
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0051017	actin filament bundle assembly	0	1	0	0.935849	1	161.5579049
GO:0000262	mitochondrial chromosome	0	1	0	0.935849	1	161.5579049
GO:0009019	tRNA (guanine-N1-)-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0031144	proteasome localization	0	1	0	0.935849	1	161.5579049
GO:0005760	gamma DNA polymerase complex	0	1	0	0.935849	1	161.5579049
GO:0017070	U6 snRNA binding	0	1	0	0.935849	1	161.5579049
GO:0004819	glutamine-tRNA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity	0	1	0	0.935849	1	161.5579049
GO:0004559	alpha-mannosidase activity	0	1	0	0.935849	1	161.5579049
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0032777	Piccolo NuA4 histone acetyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0006013	mannose metabolic process	0	1	0	0.935849	1	161.5579049
GO:0005528	FK506 binding	0	1	0	0.935849	1	161.5579049
GO:0001671	ATPase activator activity	0	1	0	0.935849	1	161.5579049
GO:0043044	ATP-dependent chromatin remodeling	0	1	0	0.935849	1	161.5579049
GO:0034755	iron ion transmembrane transport	0	1	0	0.935849	1	161.5579049
GO:0004109	coproporphyrinogen oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0000412	histone peptidyl-prolyl isomerization	0	1	0	0.935849	1	161.5579049
GO:0003876	AMP deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0042327	positive regulation of phosphorylation	0	1	0	0.935849	1	161.5579049
GO:0034770	histone H4-K20 methylation	0	1	0	0.935849	1	161.5579049
GO:0004640	phosphoribosylanthranilate isomerase activity	0	1	0	0.935849	1	161.5579049
GO:0045121	membrane raft	0	1	0	0.935849	1	161.5579049
GO:0005663	DNA replication factor C complex	0	1	0	0.935849	1	161.5579049
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006354	"DNA-dependent transcription, elongation"	0	1	0	0.935849	1	161.5579049
GO:0005759	mitochondrial matrix	0	1	0	0.935849	1	161.5579049
GO:0042799	histone methyltransferase activity (H4-K20 specific)	0	1	0	0.935849	1	161.5579049
GO:0008864	formyltetrahydrofolate deformylase activity	0	1	0	0.935849	1	161.5579049
GO:0004576	oligosaccharyl transferase activity	0	1	0	0.935849	1	161.5579049
GO:0004854	xanthine dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0001932	regulation of protein phosphorylation	0	1	0	0.935849	1	161.5579049
GO:0004602	glutathione peroxidase activity	0	1	0	0.935849	1	161.5579049
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0009190	cyclic nucleotide biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0033567	"DNA replication, Okazaki fragment processing"	0	1	0	0.935849	1	161.5579049
GO:0071008	U2-type post-mRNA release spliceosomal complex	0	1	0	0.935849	1	161.5579049
GO:0004072	aspartate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004526	ribonuclease P activity	0	1	0	0.935849	1	161.5579049
GO:0004849	uridine kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004802	transketolase activity	0	1	0	0.935849	1	161.5579049
GO:0004610	phosphoacetylglucosamine mutase activity	0	1	0	0.935849	1	161.5579049
GO:0003852	2-isopropylmalate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004512	inositol-3-phosphate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0015087	cobalt ion transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0016531	copper chaperone activity	0	1	0	0.935849	1	161.5579049
GO:0004664	prephenate dehydratase activity	0	1	0	0.935849	1	161.5579049
GO:0004402	histone acetyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0031047	gene silencing by RNA	0	1	0	0.935849	1	161.5579049
GO:0005758	mitochondrial intermembrane space	0	1	0	0.935849	1	161.5579049
GO:0005850	eukaryotic translation initiation factor 2 complex	0	1	0	0.935849	1	161.5579049
GO:0048312	intracellular distribution of mitochondria	0	1	0	0.935849	1	161.5579049
GO:0005098	Ran GTPase activator activity	0	1	0	0.935849	1	161.5579049
GO:0004370	glycerol kinase activity	0	1	0	0.935849	1	161.5579049
GO:0016471	vacuolar proton-transporting V-type ATPase complex	0	1	0	0.935849	1	161.5579049
GO:0004516	nicotinate phosphoribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0071986	Ragulator complex	0	1	0	0.935849	1	161.5579049
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0019905	syntaxin binding	0	1	0	0.935849	1	161.5579049
GO:0004352	glutamate dehydrogenase (NAD+) activity	0	1	0	0.935849	1	161.5579049
GO:0006069	ethanol oxidation	0	1	0	0.935849	1	161.5579049
GO:0004791	thioredoxin-disulfide reductase activity	0	1	0	0.935849	1	161.5579049
GO:0009186	deoxyribonucleoside diphosphate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0003991	acetylglutamate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	0	1	0	0.935849	1	161.5579049
GO:0019441	tryptophan catabolic process to kynurenine	0	1	0	0.935849	1	161.5579049
GO:0043410	positive regulation of MAPK cascade	0	1	0	0.935849	1	161.5579049
GO:0000002	mitochondrial genome maintenance	0	1	0	0.935849	1	161.5579049
GO:0003937	IMP cyclohydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0004378	"GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity"	0	1	0	0.935849	1	161.5579049
GO:0016180	snRNA processing	0	1	0	0.935849	1	161.5579049
GO:0004788	thiamine diphosphokinase activity	0	1	0	0.935849	1	161.5579049
GO:0004474	malate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0009972	cytidine deamination	0	1	0	0.935849	1	161.5579049
GO:0004638	phosphoribosylaminoimidazole carboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0004502	kynurenine 3-monooxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0016570	histone modification	0	1	0	0.935849	1	161.5579049
GO:0004851	uroporphyrin-III C-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0000444	MIS12/MIND type complex	0	1	0	0.935849	1	161.5579049
GO:0005761	mitochondrial ribosome	0	1	0	0.935849	1	161.5579049
GO:0005884	actin filament	0	1	0	0.935849	1	161.5579049
GO:0035299	inositol pentakisphosphate 2-kinase activity	0	1	0	0.935849	1	161.5579049
GO:0030532	small nuclear ribonucleoprotein complex	0	1	0	0.935849	1	161.5579049
GO:0004644	phosphoribosylglycinamide formyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0003796	lysozyme activity	0	1	0	0.935849	1	161.5579049
GO:0018160	peptidyl-pyrromethane cofactor linkage	0	1	0	0.935849	1	161.5579049
GO:0004416	hydroxyacylglutathione hydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0003725	double-stranded RNA binding	0	1	0	0.935849	1	161.5579049
GO:0031932	TORC2 complex	0	1	0	0.935849	1	161.5579049
GO:0043631	RNA polyadenylation	0	1	0	0.935849	1	161.5579049
GO:0008521	acetyl-CoA transporter activity	0	1	0	0.935849	1	161.5579049
GO:0000902	cell morphogenesis	0	1	0	0.935849	1	161.5579049
GO:0004814	arginine-tRNA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0045239	tricarboxylic acid cycle enzyme complex	0	1	0	0.935849	1	161.5579049
GO:0030410	nicotianamine synthase activity	0	1	0	0.935849	1	161.5579049
GO:0045116	protein neddylation	0	1	0	0.935849	1	161.5579049
GO:0019725	cellular homeostasis	0	1	0	0.935849	1	161.5579049
GO:0016638	"oxidoreductase activity, acting on the CH-NH2 group of donors"	0	1	0	0.935849	1	161.5579049
GO:0030905	"retromer complex, outer shell"	0	1	0	0.935849	1	161.5579049
GO:0006534	cysteine metabolic process	0	1	0	0.935849	1	161.5579049
GO:0017089	glycolipid transporter activity	0	1	0	0.935849	1	161.5579049
GO:0005665	"DNA-directed RNA polymerase II, core complex"	0	1	0	0.935849	1	161.5579049
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0004019	adenylosuccinate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0000075	cell cycle checkpoint	0	1	0	0.935849	1	161.5579049
GO:0005381	iron ion transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0042450	arginine biosynthetic process via ornithine	0	1	0	0.935849	1	161.5579049
GO:0016514	SWI/SNF complex	0	1	0	0.935849	1	161.5579049
GO:0003714	transcription corepressor activity	0	1	0	0.935849	1	161.5579049
GO:0070694	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	0	1	0	0.935849	1	161.5579049
GO:0071230	cellular response to amino acid stimulus	0	1	0	0.935849	1	161.5579049
GO:0008430	selenium binding	0	1	0	0.935849	1	161.5579049
GO:0050334	thiaminase activity	0	1	0	0.935849	1	161.5579049
GO:0016774	"phosphotransferase activity, carboxyl group as acceptor"	0	1	0	0.935849	1	161.5579049
GO:0006627	protein processing involved in protein targeting to mitochondrion	0	1	0	0.935849	1	161.5579049
GO:0016849	phosphorus-oxygen lyase activity	0	1	0	0.935849	1	161.5579049
GO:0006626	protein targeting to mitochondrion	0	1	0	0.935849	1	161.5579049
GO:0004846	urate oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0050353	trimethyllysine dioxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	0	1	0	0.935849	1	161.5579049
GO:0005967	mitochondrial pyruvate dehydrogenase complex	0	1	0	0.935849	1	161.5579049
GO:0009916	alternative oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0004392	heme oxygenase (decyclizing) activity	0	1	0	0.935849	1	161.5579049
GO:0048478	replication fork protection	0	1	0	0.935849	1	161.5579049
GO:0004496	mevalonate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0050262	ribosylnicotinamide kinase activity	0	1	0	0.935849	1	161.5579049
GO:0030118	clathrin coat	0	1	0	0.935849	1	161.5579049
GO:0019629	"propionate catabolic process, 2-methylcitrate cycle"	0	1	0	0.935849	1	161.5579049
GO:0003825	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"	0	1	0	0.935849	1	161.5579049
GO:0016866	intramolecular transferase activity	0	1	0	0.935849	1	161.5579049
GO:0070330	aromatase activity	0	1	0	0.935849	1	161.5579049
GO:0004349	glutamate 5-kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004170	dUTP diphosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0006336	DNA replication-independent nucleosome assembly	0	1	0	0.935849	1	161.5579049
GO:0004636	phosphoribosyl-ATP diphosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0050144	nucleoside deoxyribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0005868	cytoplasmic dynein complex	0	1	0	0.935849	1	161.5579049
GO:0007021	tubulin complex assembly	0	1	0	0.935849	1	161.5579049
GO:0008478	pyridoxal kinase activity	0	1	0	0.935849	1	161.5579049
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	0	1	0	0.935849	1	161.5579049
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	0	1	0	0.935849	1	161.5579049
GO:0042286	"glutamate-1-semialdehyde 2,1-aminomutase activity"	0	1	0	0.935849	1	161.5579049
GO:0042623	"ATPase activity, coupled"	0	1	0	0.935849	1	161.5579049
GO:0009089	lysine biosynthetic process via diaminopimelate	0	1	0	0.935849	1	161.5579049
GO:0006144	purine nucleobase metabolic process	0	1	0	0.935849	1	161.5579049
GO:0015675	nickel cation transport	0	1	0	0.935849	1	161.5579049
GO:0003916	DNA topoisomerase activity	0	1	0	0.935849	1	161.5579049
GO:0006788	heme oxidation	0	1	0	0.935849	1	161.5579049
GO:0019430	removal of superoxide radicals	0	1	0	0.935849	1	161.5579049
GO:0007010	cytoskeleton organization	0	1	0	0.935849	1	161.5579049
GO:0010970	microtubule-based transport	0	1	0	0.935849	1	161.5579049
GO:0007040	lysosome organization	0	1	0	0.935849	1	161.5579049
GO:0019379	"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"	0	1	0	0.935849	1	161.5579049
GO:0019594	mannitol metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004148	dihydrolipoyl dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0016051	carbohydrate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0008977	prephenate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0006481	C-terminal protein methylation	0	1	0	0.935849	1	161.5579049
GO:0009443	pyridoxal 5'-phosphate salvage	0	1	0	0.935849	1	161.5579049
GO:0000176	nuclear exosome (RNase complex)	0	1	0	0.935849	1	161.5579049
GO:0016043	cellular component organization	0	1	0	0.935849	1	161.5579049
GO:0005337	nucleoside transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0071586	CAAX-box protein processing	0	1	0	0.935849	1	161.5579049
GO:0006348	chromatin silencing at telomere	0	1	0	0.935849	1	161.5579049
GO:0008686	"3,4-dihydroxy-2-butanone-4-phosphate synthase activity"	0	1	0	0.935849	1	161.5579049
GO:0016598	protein arginylation	0	1	0	0.935849	1	161.5579049
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	0	1	0	0.935849	1	161.5579049
GO:0005639	integral to nuclear inner membrane	0	1	0	0.935849	1	161.5579049
GO:0005952	cAMP-dependent protein kinase complex	0	1	0	0.935849	1	161.5579049
GO:0000812	Swr1 complex	0	1	0	0.935849	1	161.5579049
GO:0006007	glucose catabolic process	0	1	0	0.935849	1	161.5579049
GO:0007606	sensory perception of chemical stimulus	0	1	0	0.935849	1	161.5579049
GO:0008531	riboflavin kinase activity	0	1	0	0.935849	1	161.5579049
GO:0008425	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"	0	1	0	0.935849	1	161.5579049
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity	0	1	0	0.935849	1	161.5579049
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	0	1	0	0.935849	1	161.5579049
GO:0032324	molybdopterin cofactor biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0008184	glycogen phosphorylase activity	0	1	0	0.935849	1	161.5579049
GO:0016743	carboxyl- or carbamoyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0016899	"oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor"	0	1	0	0.935849	1	161.5579049
GO:0016208	AMP binding	0	1	0	0.935849	1	161.5579049
GO:0030429	kynureninase activity	0	1	0	0.935849	1	161.5579049
GO:2000601	positive regulation of Arp2/3 complex-mediated actin nucleation	0	1	0	0.935849	1	161.5579049
GO:0005838	proteasome regulatory particle	0	1	0	0.935849	1	161.5579049
GO:0006168	adenine salvage	0	1	0	0.935849	1	161.5579049
GO:0004617	phosphoglycerate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0004413	homoserine kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004018	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"	0	1	0	0.935849	1	161.5579049
GO:0004013	adenosylhomocysteinase activity	0	1	0	0.935849	1	161.5579049
GO:0004152	dihydroorotate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0034220	ion transmembrane transport	0	1	0	0.935849	1	161.5579049
GO:0019464	glycine decarboxylation via glycine cleavage system	0	1	0	0.935849	1	161.5579049
